cbg,week_number,device_count_week,completely_home_device_count_per_week,median_home_dwell_time_per_week,median_non_home_dwell_time_per_week
181570051012,23,694,302,8972,176
181570053002,23,560,114,2508,2266
181570052002,23,652,244,9520,540
181570052003,23,652,230,6026,710
181570004004,23,520,182,4210,662
181570105001,23,724,246,4498,1172
181570007004,23,404,110,7060,662
181570007001,23,678,200,7796,1002
181570051023,23,498,182,10460,438
181570052001,23,444,122,5244,1394
181570007003,23,664,234,1180,610
181570054002,23,546,96,0,5798
181570054003,23,270,68,0,5602
181570013003,16,296,136,5071,97
181570007004,16,193,96,5791,69
181570017002,16,391,100,1743,457
181570103001,16,1388,55,0,9447
181570052003,16,356,140,5430,167
181570051023,16,199,90,8381,29
181570004004,16,201,81,2810,118
181570055001,16,706,149,0,6139
181570051011,16,525,299,7759,0
181570001001,16,357,104,233,367
181570054003,16,961,62,0,9103
181570053002,16,434,113,22,4077
181570007003,16,173,45,181,804
181570054002,16,708,111,0,5120
181570052002,16,289,122,4682,59
181570052001,16,185,82,3794,23
181570105001,16,819,225,0,4918
181570007001,16,329,133,5047,157
181570051012,16,266,127,6393,35
181570017002,17,398,114,1014,380
181570013003,17,308,126,5528,60
181570001001,17,319,112,1370,218
181570007003,17,176,38,380,1124
181570007004,17,206,79,4649,77
181570054002,17,512,103,2697,3305
181570051011,17,524,289,6936,7
181570054003,17,575,54,2821,5213
181570055001,17,546,137,1709,3838
181570103001,17,798,45,1952,5380
181570052001,17,208,97,3159,116
181570052002,17,283,117,4173,205
181570052003,17,364,156,5072,147
181570051023,17,254,122,6227,25
181570053002,17,379,103,3340,2052
181570051012,17,272,135,5717,28
181570004004,17,223,113,3550,47
181570105001,17,663,257,4045,3353
181570007001,17,340,111,4752,295
181570052003,18,374,153,5619,79
181570054002,18,281,103,5774,252
181570007004,18,225,105,4651,23
181570105001,18,432,237,7242,6
181570054003,18,134,59,4901,974
181570053002,18,344,108,5053,386
181570051012,18,275,111,4539,101
181570007001,18,332,119,3923,151
181570007003,18,212,54,178,731
181570017002,18,386,103,1037,389
181570051011,18,536,274,6731,16
181570001001,18,286,115,1412,177
181570013003,18,319,112,4034,364
181570051023,18,256,116,5939,91
181570055001,18,375,130,2261,437
181570052002,18,299,128,5296,114
181570052001,18,252,115,3443,49
181570103001,18,109,50,5540,385
181570004004,18,217,118,3836,7
181570001001,31,754,228,7510,1026
181570054002,31,354,70,624,6030
181570105001,31,598,220,11022,508
181570053002,31,428,84,10618,2126
181570007004,31,500,120,7962,1370
181570051023,31,480,132,11648,790
181570052003,31,698,152,4216,2646
181570007001,31,686,182,7100,1666
181570052001,31,350,70,9554,1936
181570051011,31,1084,462,10010,228
181570007003,31,624,226,1870,532
181570013003,31,634,170,9946,1412
181570054003,31,170,58,1202,130
181570055001,31,296,68,0,4064
181570017002,31,836,172,2054,3042
181570103001,31,100,30,2280,134
181570052002,31,574,170,7060,982
181570051012,31,576,194,9580,506
181570004004,31,414,144,4000,1028
181570054002,32,340,54,1950,6850
181570051011,32,1032,434,11830,236
181570007001,32,688,154,8904,1894
181570103001,32,18,4,0,248
181570052002,32,520,138,4008,1718
181570051023,32,458,124,9988,1122
181570105001,32,568,150,2296,1400
181570001001,32,742,228,8324,732
181570052003,32,744,178,2688,3522
181570053002,32,410,54,8174,2788
181570051012,32,522,190,9150,428
181570004004,32,400,124,3702,1074
181570007003,32,602,206,1266,566
181570017002,32,838,148,1138,2576
181570007004,32,506,144,5838,998
181570055001,32,280,42,0,2992
181570054003,32,96,20,156,558
181570013003,32,608,142,9266,1982
181570052001,32,304,66,8376,2240
181570017002,33,808,198,2230,1952
181570103001,33,130,26,4974,2136
181570051011,33,990,422,11734,182
181570052001,33,302,72,7228,2528
181570054003,33,84,22,4548,508
181570055001,33,244,26,1056,5108
181570001001,33,816,256,9554,900
181570053002,33,414,60,9000,3438
181570105001,33,580,148,4134,1800
181570052003,33,738,168,2410,3008
181570013003,33,576,160,9170,964
181570004004,33,380,96,5180,1588
181570007001,33,700,144,8590,3248
181570054002,33,438,52,1326,6708
181570052002,33,532,192,7042,668
181570007003,33,558,138,1226,1788
181570051023,33,480,150,11420,1096
181570051012,33,632,260,8546,204
181570007004,33,492,116,5340,1784
181570054003,24,218,52,0,10368
181570051012,24,616,270,10454,128
181570051011,24,928,418,12854,112
181570051023,24,490,168,12692,566
181570017002,24,648,178,3710,934
181570007001,24,634,222,6916,1170
181570001001,24,678,294,7728,248
181570013003,24,598,218,8782,602
181570053002,24,482,106,5746,2786
181570055001,24,468,96,0,5604
181570054002,24,472,88,8,5960
181570007003,24,540,178,700,808
181570103001,24,190,22,0,12938
181570052003,24,588,190,6970,1150
181570052002,24,606,208,10384,624
181570052001,24,408,148,5256,996
181570007004,24,382,152,10028,410
181570105001,24,600,206,4748,818
181570004004,24,464,176,4146,324
181570017002,25,780,244,5026,1214
181570051011,25,1036,486,10846,112
181570054002,25,438,76,2418,3744
181570052003,25,656,222,7060,1018
181570013003,25,592,208,9830,878
181570051012,25,616,286,11290,90
181570004004,25,406,124,7002,1058
181570007003,25,768,232,424,740
181570052001,25,406,90,3026,2240
181570103001,25,168,40,602,9974
181570105001,25,626,238,7732,574
181570053002,25,464,102,3298,2220
181570052002,25,628,212,10166,630
181570001001,25,756,268,5244,512
181570007001,25,654,228,9520,938
181570007004,25,410,166,6334,234
181570055001,25,352,60,758,3146
181570051023,25,498,196,12132,446
181570054003,25,198,34,414,8884
181570017002,40,1050,302,1418,1102
181570051011,40,1254,476,10510,364
181570007001,40,582,146,9686,2464
181570105001,40,1186,400,13950,890
181570103001,40,3760,764,13942,1966
181570054003,40,2582,436,13106,2424
181570053002,40,1262,288,12880,2032
181570004004,40,498,126,5760,1986
181570013003,40,608,142,5882,2014
181570001001,40,1100,430,6100,314
181570054002,40,1868,418,11242,1456
181570007004,40,592,194,4132,638
181570007003,40,792,276,2602,588
181570052003,40,836,214,5284,1678
181570052002,40,652,168,8716,1512
181570055001,40,2204,540,10478,1604
181570052001,40,334,68,10630,2228
181570051012,40,540,120,8176,1972
181570051023,40,482,124,11340,816
181570055001,41,2102,544,9730,1512
181570051012,41,548,172,8622,1232
181570007001,41,602,150,7908,1840
181570017002,41,1048,300,1532,1156
181570105001,41,1196,368,13998,856
181570007003,41,752,274,2314,776
181570053002,41,1282,294,12194,2014
181570052002,41,614,170,9394,1088
181570052001,41,304,90,7704,1534
181570051011,41,1366,566,9348,284
181570052003,41,888,256,5458,1550
181570054002,41,1904,442,10718,1306
181570051023,41,466,106,10966,1874
181570007004,41,596,176,4936,1032
181570013003,41,622,128,5870,2014
181570001001,41,1096,422,4858,666
181570054003,41,2560,460,13884,2198
181570103001,41,3822,770,14130,1904
181570004004,41,492,136,6544,1794
181570017002,42,1044,334,1874,766
181570013003,42,636,132,5092,2004
181570052002,42,588,150,10058,1550
181570051011,42,1332,590,9264,160
181570052001,42,372,94,4162,1942
181570001001,42,1194,444,3668,704
181570004004,42,510,162,8624,914
181570007003,42,814,296,2182,642
181570051012,42,568,176,6228,1052
181570105001,42,1166,362,12560,1018
181570054003,42,2570,528,13400,2146
181570055001,42,2098,542,10308,1564
181570007001,42,608,192,11022,1428
181570052003,42,928,324,3012,792
181570054002,42,1904,494,10594,1770
181570007004,42,694,254,5320,748
181570053002,42,1246,356,12446,1688
181570051023,42,446,114,9222,1070
181570103001,42,3842,878,14306,1830
181570001001,34,794,260,7604,1044
181570007001,34,610,142,11084,2380
181570052001,34,322,64,7820,3156
181570052003,34,678,120,1888,5074
181570052002,34,552,162,6200,1144
181570051023,34,514,162,8960,756
181570105001,34,628,156,5814,1178
181570051012,34,552,198,8100,540
181570013003,34,562,170,8928,2098
181570053002,34,444,72,9582,3414
181570054002,34,394,70,1808,4890
181570004004,34,366,104,4356,1554
181570055001,34,340,62,5404,1800
181570007004,34,484,118,6140,1254
181570017002,34,734,198,1416,1404
181570007003,34,464,94,1540,2684
181570051011,34,974,420,10348,224
181570103001,34,326,52,11762,1790
181570054003,34,214,66,9926,752
181570055001,43,2080,486,10118,1722
181570001001,43,1182,400,5046,824
181570053002,43,1140,282,13096,1846
181570054003,43,2568,528,13012,2492
181570054002,43,1898,426,10970,1716
181570052003,43,904,274,4230,1556
181570007001,43,618,170,10252,2216
181570052001,43,346,96,8992,1412
181570052002,43,582,118,10474,2402
181570051012,43,566,172,9882,874
181570103001,43,3794,756,13804,2050
181570105001,43,1098,270,12692,1242
181570007003,43,784,230,322,1304
181570051023,43,462,138,9758,1220
181570007004,43,532,152,7336,1032
181570013003,43,618,134,8178,2246
181570051011,43,1330,594,7714,266
181570017002,43,952,326,1808,842
181570004004,43,516,130,5380,1098
181570016001,11,1185,367,4781,915
181570016001,12,1177,469,6711,237
181570016001,13,1247,515,6414,178
181570016001,35,2394,480,9244,2770
181570016001,36,2500,516,9760,2730
181570016001,37,2336,500,9412,2926
181570016001,26,2356,616,10392,1822
181570016001,27,2510,614,10184,1878
181570016001,28,2522,588,9494,2484
181570016001,19,1280,413,5737,485
181570016001,20,1284,325,5138,750
181570016001,21,1291,324,5212,868
181570016001,14,1287,526,6780,131
181570016001,15,1130,472,6821,137
181570016001,29,2506,606,9856,2406
181570016001,30,2160,526,8638,2256
181570016001,38,2362,460,9342,3184
181570016001,39,2308,480,9740,3478
181570016001,22,2490,568,9922,2184
181570016001,23,2418,622,10220,1710
181570016001,16,1245,490,6609,161
181570016001,17,1228,417,5728,345
181570016001,18,1254,424,5555,434
181570016001,31,2532,614,9262,2496
181570016001,32,2422,544,9614,2732
181570016001,33,2376,540,9774,2446
181570016001,24,2256,640,10782,1586
181570016001,25,2368,626,9784,1912
181570016001,40,2218,456,9832,2842
181570016001,41,2156,400,10338,3366
181570016001,42,2318,522,10138,2444
181570016001,34,2262,514,9338,3268
181570016001,43,2292,484,10284,2918
181570016002,11,885,301,5784,532
181570016002,12,877,400,8059,71
181570016002,13,960,429,7326,95
181570016002,35,1988,410,9666,2222
181570016002,36,2030,496,10152,2030
181570016002,37,2038,470,10574,2176
181570016002,26,1914,558,11328,1320
181570016002,27,2002,576,11294,1178
181570016002,28,2100,586,10602,1592
181570016002,19,1010,367,6575,222
181570016002,20,1037,317,5542,460
181570016002,21,1023,308,5777,395
181570016002,14,1012,440,7243,114
181570016002,15,886,404,8106,54
181570016002,29,2060,474,10818,1906
181570016002,30,1756,438,9370,1412
181570016002,38,2054,518,9794,2152
181570016002,39,1976,510,9910,1968
181570016002,22,2016,590,10690,1008
181570016002,23,2066,564,11348,1102
181570016002,16,973,385,6674,201
181570016002,17,979,403,6886,132
181570016002,18,1013,413,6874,212
181570016002,31,1964,446,10684,1610
181570016002,32,2046,516,10756,1508
181570016002,33,1974,446,10246,2248
181570016002,24,2048,586,10758,1334
181570016002,25,2160,628,10014,1406
181570016002,40,1994,520,10470,1794
181570016002,41,2050,452,10604,2202
181570016002,42,2126,506,10210,1992
181570016002,34,1972,456,9598,2114
181570016002,43,2048,474,9430,2240
181570016003,11,1367,437,5273,690
181570016003,12,1370,584,6635,192
181570016003,13,1393,620,6912,133
181570016003,35,3122,610,10032,2840
181570016003,36,3176,758,9854,2266
181570016003,37,3182,724,9856,2414
181570016003,26,2832,658,10228,2044
181570016003,27,3000,738,9756,1830
181570016003,28,3106,770,10146,1750
181570016003,19,1436,495,6013,345
181570016003,20,1495,440,5529,566
181570016003,21,1520,454,5222,587
181570016003,14,1355,598,7162,107
181570016003,15,1171,533,7686,63
181570016003,29,3068,704,10190,2012
181570016003,30,2682,602,9068,1942
181570016003,38,3216,744,10154,2092
181570016003,39,3272,740,10514,2382
181570016003,22,3070,874,9648,1198
181570016003,23,3070,820,10428,1558
181570016003,16,1244,493,6718,172
181570016003,17,1334,490,6243,226
181570016003,18,1369,508,6191,282
181570016003,31,3046,676,10464,2696
181570016003,32,2948,670,10390,2006
181570016003,33,3052,666,9810,2390
181570016003,24,3000,796,10430,1848
181570016003,25,3012,730,10726,2152
181570016003,40,3404,680,9876,2916
181570016003,41,3442,656,10124,2734
181570016003,42,3424,732,10800,2542
181570016003,34,3092,654,10322,2564
181570016003,43,3384,670,10892,2728
181570016004,11,1957,666,5447,614
181570016004,12,2042,893,7490,118
181570016004,13,2128,994,8150,50
181570016004,35,4656,872,9822,3174
181570016004,36,5008,1190,9680,2640
181570016004,37,4900,1032,8926,3148
181570016004,26,4264,972,10160,2302
181570016004,27,4554,1072,10016,2252
181570016004,28,4496,966,10390,2418
181570016004,19,2232,772,6736,329
181570016004,20,2297,683,5747,712
181570016004,21,2256,643,5700,737
181570016004,14,2204,999,7597,98
181570016004,15,1951,942,8349,34
181570016004,29,4504,966,10100,2750
181570016004,30,3894,828,9272,2192
181570016004,38,4826,1072,8810,3088
181570016004,39,4824,982,9428,3246
181570016004,22,4328,1102,10956,2076
181570016004,23,4384,1118,10230,2008
181570016004,16,2032,843,7834,153
181570016004,17,2120,838,7065,163
181570016004,18,2174,746,6858,315
181570016004,31,4450,918,10888,2544
181570016004,32,4504,922,11058,2336
181570016004,33,4318,864,10924,2802
181570016004,24,4160,1012,10776,2080
181570016004,25,4504,1114,10276,1942
181570016004,40,4978,1064,8932,2948
181570016004,41,5006,1072,9064,3010
181570016004,42,5186,1258,9272,2358
181570016004,34,4292,862,10676,3020
181570016004,43,5046,1110,9196,2838
181570101002,11,517,152,5155,782
181570101002,12,514,178,7078,315
181570101002,13,543,184,6645,281
181570101002,35,1036,154,8926,3352
181570101002,36,1018,182,10148,3242
181570101002,37,1022,162,9448,3690
181570101002,26,1098,186,6862,3516
181570101002,27,1058,256,9974,1856
181570101002,28,1094,206,8564,2538
181570101002,19,540,128,5995,909
181570101002,20,578,124,4699,1169
181570101002,21,564,90,5005,1490
181570101002,14,535,185,7016,297
181570101002,15,455,157,7632,302
181570101002,29,1078,196,9812,2544
181570101002,30,858,144,7740,3204
181570101002,38,1036,194,9550,3220
181570101002,39,1084,170,7100,3440
181570101002,22,1176,208,9998,3268
181570101002,23,1222,264,9430,2236
181570101002,16,519,157,6533,379
181570101002,17,550,146,5334,766
181570101002,18,555,141,5668,815
181570101002,31,988,130,8478,4168
181570101002,32,1006,154,9940,2940
181570101002,33,916,126,9538,3148
181570101002,24,1170,260,9810,2648
181570101002,25,1146,228,9270,2486
181570101002,40,1142,254,9262,2748
181570101002,41,1182,244,7406,3154
181570101002,42,1152,238,8418,2910
181570101002,34,952,130,8936,2842
181570101002,43,1056,170,8766,3398
181570101003,11,491,166,5986,494
181570101003,12,498,220,6616,199
181570101003,13,541,242,7296,63
181570101003,35,1108,250,11412,2274
181570101003,36,1126,246,11206,2264
181570101003,37,1066,234,11286,2222
181570101003,26,1064,268,10616,2276
181570101003,27,1110,252,10256,2078
181570101003,28,1152,302,9892,1992
181570101003,19,542,186,5680,400
181570101003,20,571,167,5104,447
181570101003,21,560,160,5148,592
181570101003,14,566,260,7152,100
181570101003,15,436,200,7680,61
181570101003,29,1150,250,10676,2116
181570101003,30,1000,258,9766,1562
181570101003,38,1094,286,10724,1870
181570101003,39,1064,264,11006,1656
181570101003,22,1132,272,9890,1806
181570101003,23,1092,292,9734,1768
181570101003,16,550,215,6264,213
181570101003,17,539,220,6272,189
181570101003,18,543,175,6124,281
181570101003,31,1058,274,10544,1778
181570101003,32,1112,234,11208,2180
181570101003,33,1100,224,11408,2412
181570101003,24,1034,284,10190,1766
181570101003,25,1060,266,10618,1976
181570101003,40,1122,278,10842,1956
181570101003,41,1068,310,11330,1532
181570101003,42,1042,306,11694,1570
181570101003,34,1032,266,11466,1988
181570101003,43,1088,258,11590,1862
181570101004,11,984,300,5262,644
181570101004,12,970,389,6599,183
181570101004,13,1014,404,7046,131
181570101004,35,2008,342,10364,3190
181570101004,36,1966,420,11230,3132
